
modster/modster.github.io	The profile of Calgary programmer Eric Michael Greeff.	public	2026-02-24T11:06:34Z
modster/oc		public	2026-02-24T04:17:41Z
modster/gcp-oauth	a template for a google cloud platform oauth app	public	2026-02-24T03:18:37Z
modster/oauth		private	2026-02-24T02:19:14Z
modster/oz-cli	openzepplin cli getting started tute	public	2026-02-23T04:51:46Z
modster/next-threejs-fibre-template		public	2026-02-22T01:22:50Z
modster/resume		public	2026-02-18T00:56:56Z
modster/modster	My github profile repo	public	2026-02-16T06:29:45Z
modster/observable-plugin	Obsidian Plug In Template	public	2026-02-10T08:37:11Z
modster/deno-deploy-examples-hello-world		public	2026-02-09T03:48:52Z
modster/congenial-funicular	A dataviz experiment using observablehq/framework and ccxt.	private	2026-01-11T02:44:58Z
modster/aframework		public	2026-01-02T01:34:47Z
modster/dotfiles	my dotfiles	private	2025-12-30T01:01:57Z
modster/vanilla-html		public	2025-12-29T01:30:00Z
modster/viem-sgadtkvw	Created with StackBlitz ⚡️	private	2025-12-27T03:59:39Z
modster/skills-integrate-mcp-with-copilot	Exercise: Integrate Model Context Protocol with GitHub Copilot	public	2025-12-25T08:14:19Z
modster/hello-reown		private	2025-12-25T00:50:47Z
modster/ponder		private	2025-12-25T00:22:14Z
modster/se-ponder		private	2025-12-24T18:45:32Z
modster/oz		private	2025-12-23T21:44:00Z
modster/floor-is-llava	Generate images based on text prompts using Workers AI.	public	2025-12-22T15:00:21Z
modster/toplist		private	2025-12-17T09:15:53Z
modster/toptrader	A website that lists the top trades made by players of a trading sim.	private	2025-12-16T13:25:14Z
modster/cf-pages-site		private	2025-12-11T13:38:26Z
modster/hono-router		private	2025-12-11T13:36:23Z
modster/supa-hono		private	2025-12-09T22:51:51Z
modster/supabase-picks		private	2025-12-08T17:06:01Z
modster/supabase-deno-func		private	2025-12-07T23:00:14Z
modster/hono-deno		private	2025-12-07T21:01:57Z
modster/ez-docker		public	2025-11-24T06:35:12Z
